Claim_ID,Policy_ID,Claim_Date,Claim_Amount,Claim_Type,Severity
41,112,2023-06-21,0.0,Property Damage,0.0
42,112,2024-04-23,0.0,Property Damage,0.0
43,113,2016-08-05,67.29,Bodily Injury,67.29
44,116,2019-08-17,155.2,Bodily Injury,155.2
45,117,2015-07-18,93.58,Bodily Injury,93.58
46,120,2016-08-24,302.26,Bodily Injury,302.26
47,120,2010-05-28,143.94,Collision,143.94
48,126,2020-01-12,7.34,Bodily Injury,7.34
49,131,2015-12-27,64.84,Comprehensive,64.84
50,134,2023-07-24,17.89,Comprehensive,17.89
51,135,2024-12-31,37.9,Collision,37.9
52,138,2013-09-13,53.84,Collision,53.84
53,139,2021-04-08,0.0,Collision,0.0
54,146,2012-01-26,29.99,Collision,29.99
55,148,2021-12-30,0.0,Collision,0.0
56,151,2024-12-31,105.55,Collision,105.55
57,156,2001-08-21,39.97,Collision,39.97
58,160,2006-09-04,57.18,Bodily Injury,57.18
59,163,2023-05-29,119.91,Bodily Injury,119.91
60,164,2009-07-23,0.0,Collision,0.0
61,167,2024-03-01,0.0,Property Damage,0.0
62,180,2006-11-27,0.0,Collision,0.0
63,182,2024-12-31,17.28,Bodily Injury,17.28
64,186,2023-07-26,0.0,Property Damage,0.0
65,186,2019-05-31,0.0,Bodily Injury,0.0
66,196,2017-09-15,73.05,Collision,73.05
67,198,2024-06-01,12.86,Collision,12.86
68,199,2003-04-12,0.0,Bodily Injury,0.0
69,207,2021-06-19,15.78,Property Damage,15.78
70,209,2020-12-09,0.0,Collision,0.0
71,212,2013-01-07,243.23,Property Damage,243.23
72,214,2011-05-26,0.0,Comprehensive,0.0
73,221,2020-12-11,66.31,Property Damage,66.31
74,222,2022-04-13,333.74,Bodily Injury,333.74
75,223,2023-07-28,55.75,Collision,55.75
76,224,2021-06-05,0.0,Property Damage,0.0
77,236,2018-02-04,0.0,Collision,0.0
78,239,2015-06-07,0.0,Property Damage,0.0
79,242,2011-06-07,0.0,Property Damage,0.0
80,243,2005-09-09,30.54,Property Damage,30.54
81,244,2016-05-07,79.59,Property Damage,79.59
82,245,2008-05-02,39.24,Bodily Injury,39.24
83,246,2007-06-28,0.0,Comprehensive,0.0
84,248,2023-10-03,53.71,Bodily Injury,53.71
85,249,2001-09-23,47.85,Bodily Injury,47.85
86,266,2021-07-11,118.97,Property Damage,118.97
87,270,2022-08-04,10.01,Property Damage,10.01
88,277,2017-06-21,0.0,Collision,0.0
89,278,2009-01-25,34.71,Property Damage,34.71
90,279,2001-09-03,17.08,Collision,17.08
91,284,2016-10-06,86.83,Collision,86.83
92,287,2022-01-26,37.46,Property Damage,37.46
93,288,2023-04-23,156.71,Collision,156.71
94,290,2024-08-17,0.0,Comprehensive,0.0
95,290,2024-07-13,0.0,Bodily Injury,0.0
96,299,2017-10-07,0.0,Bodily Injury,0.0
97,299,2004-04-24,0.0,Bodily Injury,0.0
98,299,2006-03-26,0.0,Collision,0.0
99,300,2023-03-24,0.0,Bodily Injury,0.0
100,306,2011-09-25,110.02,Bodily Injury,110.02
101,309,2018-07-29,,Bodily Injury,0.0
102,309,2017-08-26,,Property Damage,0.0
103,311,2024-01-04,19.42,Property Damage,19.42
104,314,2023-09-18,77.53,Bodily Injury,77.53
105,316,2019-03-02,90.08,Bodily Injury,90.08
106,316,2023-05-21,60.21,Property Damage,60.21
107,322,2018-05-20,88.76,Bodily Injury,88.76
108,325,2014-07-01,0.0,Bodily Injury,0.0
109,329,2020-08-21,0.0,Bodily Injury,0.0
110,335,2023-01-30,83.91,Bodily Injury,83.91
111,336,2024-07-24,68.57,Bodily Injury,68.57
112,336,2011-12-13,64.89,Property Damage,64.89
113,336,2016-04-12,69.06,Property Damage,69.06
114,338,2020-04-30,0.0,Property Damage,0.0
115,341,2024-07-19,3.04,Collision,3.04
116,341,2023-11-02,8.12,Bodily Injury,8.12
117,345,2013-09-08,64.73,Comprehensive,64.73
118,348,2017-12-31,212.91,Collision,212.91
119,351,2011-06-20,26.56,Property Damage,26.56
120,357,2012-12-29,17.97,Collision,17.97
121,358,2021-05-12,0.0,Collision,0.0
122,361,2009-11-18,79.88,Comprehensive,79.88
123,361,2017-07-05,80.13,Collision,80.13
124,366,2023-09-19,0.0,Property Damage,0.0
125,368,2024-01-02,62.15,Bodily Injury,62.15
126,374,2017-03-19,29.84,Bodily Injury,29.84
127,377,2018-03-13,43.51,Comprehensive,43.51
128,380,2024-12-31,0.0,Property Damage,0.0
129,386,2021-04-10,185.87,Bodily Injury,185.87
130,387,1997-12-28,136.54,Bodily Injury,136.54
131,391,2022-07-16,0.0,Property Damage,0.0
132,401,2005-09-01,0.0,Property Damage,0.0
133,412,2023-03-24,117.88,Bodily Injury,117.88
134,415,2018-05-22,46.24,Bodily Injury,46.24
135,417,2019-05-06,456.03,Property Damage,456.03
136,417,2014-09-23,428.59,Property Damage,428.59
137,436,2016-09-01,0.0,Collision,0.0
138,437,2020-04-29,328.26,Bodily Injury,328.26
139,437,2024-11-09,233.88,Property Damage,233.88
140,438,2016-05-19,67.82,Property Damage,67.82
141,451,2019-09-03,2.71,Collision,2.71
142,457,2014-11-27,141.56,Property Damage,141.56
143,458,2005-08-30,0.0,Property Damage,0.0
144,458,2001-08-01,0.0,Bodily Injury,0.0
145,459,2024-05-27,0.0,Property Damage,0.0
146,462,2023-08-11,22.56,Collision,22.56
147,463,2011-03-14,22.86,Property Damage,22.86
148,466,2022-06-10,0.0,Collision,0.0
149,470,2023-07-25,0.0,Bodily Injury,0.0
150,480,2024-03-05,33.6,Comprehensive,33.6
151,483,2022-06-04,208.6,Bodily Injury,208.6
152,484,2011-03-21,32.03,Comprehensive,32.03
153,488,2015-06-15,0.0,Bodily Injury,0.0
154,493,2010-08-25,141.38,Property Damage,141.38
155,495,2024-10-31,0.0,Bodily Injury,0.0
156,496,2020-03-01,0.0,Property Damage,0.0
157,503,2017-04-07,0.0,Bodily Injury,0.0
158,514,2022-07-20,0.0,Bodily Injury,0.0
159,518,2018-12-22,107.69,Property Damage,107.69
160,519,2024-02-26,79.14,Property Damage,79.14
161,520,2017-04-22,117.62,Collision,117.62
162,521,2023-11-09,0.0,Property Damage,0.0
163,525,2019-02-18,4.65,Collision,4.65
164,530,2013-05-11,0.0,Bodily Injury,0.0
165,530,2018-03-11,0.0,Bodily Injury,0.0
166,544,2019-08-29,60.99,Property Damage,60.99
167,553,2023-03-05,208.2,Comprehensive,208.2
168,556,2016-07-09,53.73,Bodily Injury,53.73
169,563,2012-02-04,71.74,Property Damage,71.74
170,563,2024-01-02,19.58,Bodily Injury,19.58
171,567,2018-12-09,155.97,Property Damage,155.97
172,575,2019-06-30,160.08,Collision,160.08
173,576,2005-12-29,0.0,Property Damage,0.0
174,576,2023-04-17,0.0,Property Damage,0.0
175,577,2008-06-23,103.16,Comprehensive,103.16
176,581,2006-06-27,64.62,Bodily Injury,64.62
177,598,2010-11-27,0.0,Property Damage,0.0
178,601,2018-06-07,61.97,Bodily Injury,61.97
179,605,2022-09-12,0.0,Property Damage,0.0
180,605,2021-11-19,0.0,Collision,0.0
181,607,2016-10-18,12.25,Property Damage,12.25
182,608,2024-05-13,25.89,Property Damage,25.89
183,609,2017-01-18,8.42,Property Damage,8.42
184,611,2021-09-18,256.28,Property Damage,256.28
185,613,2023-02-27,108.13,Bodily Injury,108.13
186,617,2011-10-06,143.18,Property Damage,143.18
187,618,2021-10-15,286.98,Property Damage,286.98
188,621,2024-12-31,0.0,Bodily Injury,0.0
189,631,2014-04-21,0.0,Comprehensive,0.0
190,636,2006-11-20,44.53,Bodily Injury,44.53
191,640,2013-02-02,290.69,Bodily Injury,290.69
192,646,2016-06-23,323.71,Property Damage,323.71
193,648,2019-10-15,64.33,Property Damage,64.33
194,653,2012-10-25,85.25,Collision,85.25
195,658,2024-12-31,101.08,Comprehensive,101.08
196,658,2024-12-31,115.76,Property Damage,115.76
197,659,2011-02-10,0.0,Comprehensive,0.0
198,662,2023-04-13,31.82,Property Damage,31.82
199,668,2013-04-23,0.0,Comprehensive,0.0
200,672,2011-10-02,55.55,Bodily Injury,55.55
201,676,2024-07-13,95.9,Property Damage,95.9
202,678,2020-09-19,0.0,Property Damage,0.0
203,683,2005-11-26,78.86,Comprehensive,78.86
204,689,2004-04-25,29.7,Property Damage,29.7
205,698,2012-12-06,202.54,Property Damage,202.54
206,704,2011-03-24,0.0,Property Damage,0.0
207,708,2022-03-08,0.0,Bodily Injury,0.0
208,710,2023-09-11,0.0,Property Damage,0.0
209,710,2023-12-14,0.0,Collision,0.0
210,715,2020-01-18,7.66,Collision,7.66
211,717,2021-06-03,84.2,Property Damage,84.2
212,721,2014-04-27,0.0,Bodily Injury,0.0
213,722,2023-08-27,14.71,Collision,14.71
214,722,2018-11-02,19.76,Bodily Injury,19.76
215,730,2016-12-07,0.0,Property Damage,0.0
216,733,2023-12-06,136.24,Collision,136.24
217,735,2024-09-20,269.79,Property Damage,269.79
218,742,2020-12-10,55.97,Property Damage,55.97
219,746,2024-02-29,34.6,Property Damage,34.6
220,752,2022-07-13,307.35,Property Damage,307.35
221,758,2020-10-06,0.0,Property Damage,0.0
222,779,2010-08-28,0.0,Property Damage,0.0
223,780,2009-02-19,137.24,Property Damage,137.24
224,786,2018-02-01,46.99,Bodily Injury,46.99
225,791,2021-12-01,0.0,Bodily Injury,0.0
226,791,2009-10-02,0.0,Collision,0.0
227,793,2006-10-26,46.1,Comprehensive,46.1
228,798,2021-06-03,0.0,Property Damage,0.0
229,810,2015-01-31,0.0,Comprehensive,0.0
230,815,2017-08-11,8.41,Bodily Injury,8.41
231,817,2016-09-21,0.0,Collision,0.0
232,818,2022-02-14,379.1,Property Damage,379.1
233,827,2022-05-30,17.55,Property Damage,17.55
234,829,2017-01-18,54.84,Bodily Injury,54.84
235,835,2024-08-26,10.78,Property Damage,10.78
236,843,2022-09-29,0.0,Bodily Injury,0.0
237,845,2002-08-18,18.22,Property Damage,18.22
238,849,2023-03-02,9.85,Bodily Injury,9.85
239,853,2022-12-23,0.0,Collision,0.0
240,855,2006-05-24,35.9,Property Damage,35.9
241,855,2004-12-10,18.84,Bodily Injury,18.84
242,857,2024-08-12,157.86,Property Damage,157.86
243,859,2017-12-26,50.81,Collision,50.81
244,859,2023-08-20,99.35,Comprehensive,99.35
245,862,2017-09-25,0.0,Collision,0.0
246,862,2024-03-12,0.0,Property Damage,0.0
247,873,2022-06-19,0.0,Comprehensive,0.0
248,875,2023-07-17,73.8,Collision,73.8
249,878,2021-07-14,0.0,Property Damage,0.0
250,879,2024-04-16,14.63,Bodily Injury,14.63
251,883,2017-12-27,85.46,Bodily Injury,85.46
252,890,2023-06-17,0.0,Bodily Injury,0.0
253,896,2023-03-14,268.61,Bodily Injury,268.61
254,899,2008-10-26,97.45,Property Damage,97.45
255,900,2011-10-24,102.65,Property Damage,102.65
256,901,2023-05-03,19.59,Comprehensive,19.59
257,904,2024-10-12,343.26,Collision,343.26
258,906,2024-03-06,0.0,Bodily Injury,0.0
259,910,2018-04-30,370.71,Bodily Injury,370.71
260,910,2006-07-04,185.91,Property Damage,185.91
261,911,2024-11-28,0.0,Property Damage,0.0
262,917,2022-10-16,72.53,Property Damage,72.53
263,926,1999-09-14,47.7,Comprehensive,47.7
264,934,2020-07-07,0.0,Bodily Injury,0.0
265,936,2011-02-07,24.73,Property Damage,24.73
266,939,2022-04-14,0.0,Collision,0.0
267,941,2023-09-02,78.33,Collision,78.33
268,943,2022-06-01,124.04,Collision,124.04
269,945,2008-07-12,277.1,Property Damage,277.1
270,953,2017-05-30,6.15,Property Damage,6.15
271,958,2020-12-23,96.3,Property Damage,96.3
272,960,2024-01-22,260.09,Bodily Injury,260.09
273,960,2005-07-19,233.03,Comprehensive,233.03
274,963,2016-03-20,153.22,Property Damage,153.22
275,964,2014-02-09,57.9,Bodily Injury,57.9
276,965,2021-12-28,24.53,Property Damage,24.53
277,973,2017-05-29,0.0,Collision,0.0
278,974,2004-05-20,0.0,Bodily Injury,0.0
279,974,2016-12-08,0.0,Property Damage,0.0
280,976,2020-03-16,81.26,Property Damage,81.26
281,977,2019-04-13,490.39,Bodily Injury,490.39
282,982,2024-12-31,43.54,Bodily Injury,43.54
283,982,2024-12-31,26.86,Comprehensive,26.86
284,987,2017-09-20,235.82,Bodily Injury,235.82
285,989,2022-10-13,0.0,Property Damage,0.0
286,989,2023-01-22,0.0,Collision,0.0
287,996,2006-02-06,65.58,Collision,65.58
288,1001,2019-10-03,0.0,Property Damage,0.0
289,1008,2024-01-08,1.28,Collision,1.28
290,1008,2024-07-05,1.64,Property Damage,1.64
291,1009,2011-05-08,0.0,Bodily Injury,0.0
292,1009,2003-07-19,0.0,Bodily Injury,0.0
293,1009,2014-10-21,0.0,Collision,0.0
294,1014,2022-10-26,96.15,Property Damage,96.15
295,1017,2019-05-20,0.0,Property Damage,0.0
296,1021,2024-12-31,27.81,Bodily Injury,27.81
297,1026,2019-08-19,148.55,Bodily Injury,148.55
298,1034,2017-07-04,108.9,Comprehensive,108.9
299,1035,2011-04-17,59.21,Property Damage,59.21
300,1037,2022-01-23,179.99,Bodily Injury,179.99
301,1042,2006-08-02,212.3,Collision,212.3
302,1043,2014-03-03,179.29,Bodily Injury,179.29
303,1044,2024-05-26,0.0,Comprehensive,0.0
304,1046,2022-10-22,203.88,Property Damage,203.88
305,1054,2019-10-28,0.0,Property Damage,0.0
306,1061,2024-07-08,211.5,Bodily Injury,211.5
307,1065,2024-03-29,249.65,Bodily Injury,249.65
308,1065,2022-10-17,252.26,Bodily Injury,252.26
309,1075,2020-11-26,15.34,Collision,15.34
310,1075,2022-01-22,4.39,Property Damage,4.39
311,1076,2020-05-15,312.39,Property Damage,312.39
312,1077,2005-01-28,0.0,Property Damage,0.0
313,1077,2017-05-19,0.0,Bodily Injury,0.0
314,1082,2018-11-05,96.17,Collision,96.17
315,1086,2004-11-30,38.32,Property Damage,38.32
316,1095,2020-04-19,59.0,Property Damage,59.0
317,1097,2024-01-13,63.72,Collision,63.72
318,1098,2021-05-08,0.8,Property Damage,0.8
319,1104,1997-04-23,31.85,Property Damage,31.85
320,1108,2014-11-29,0.0,Bodily Injury,0.0
321,1114,2020-09-21,8.81,Property Damage,8.81
322,1115,2022-03-22,0.0,Collision,0.0
323,1115,2021-08-25,0.0,Bodily Injury,0.0
324,1120,2020-11-25,37.74,Property Damage,37.74
325,1127,2023-05-29,225.14,Property Damage,225.14
326,1129,2022-07-04,0.0,Property Damage,0.0
327,1131,2024-03-21,132.22,Property Damage,132.22
328,1133,2015-09-06,,Comprehensive,0.0
329,1136,2024-12-31,156.94,Property Damage,156.94
330,1136,2024-12-31,118.26,Property Damage,118.26
331,1136,2024-12-31,165.16,Property Damage,165.16
332,1137,2019-09-22,0.0,Bodily Injury,0.0
333,1139,2016-08-24,0.0,Comprehensive,0.0
334,1139,2017-10-01,0.0,Property Damage,0.0
335,1140,2024-07-26,70.03,Property Damage,70.03
336,1144,2011-05-13,0.0,Bodily Injury,0.0
337,1148,2021-04-25,0.0,Collision,0.0
338,1152,2018-11-11,0.0,Property Damage,0.0
339,1153,2013-07-18,54.43,Property Damage,54.43
340,1163,2015-11-27,0.0,Collision,0.0
341,1165,2023-06-21,104.73,Bodily Injury,104.73
342,1177,2020-04-06,144.78,Bodily Injury,144.78
343,1185,2014-01-10,126.62,Property Damage,126.62
344,1187,2022-07-09,149.58,Collision,149.58
345,1188,2023-05-23,62.94,Bodily Injury,62.94
346,1189,2024-04-26,0.0,Bodily Injury,0.0
347,1191,2015-01-21,0.0,Property Damage,0.0
348,1195,2006-03-03,107.47,Bodily Injury,107.47
349,1200,2017-07-29,102.19,Bodily Injury,102.19
350,1203,2010-01-06,108.48,Collision,108.48
351,1204,2013-06-17,262.15,Property Damage,262.15
352,1206,2021-04-12,0.0,Property Damage,0.0
353,1209,2022-05-17,219.42,Property Damage,219.42
354,1222,2024-06-15,0.0,Bodily Injury,0.0
355,1224,2021-12-07,37.38,Comprehensive,37.38
356,1239,2009-06-10,0.0,Collision,0.0
357,1241,2023-07-01,34.97,Collision,34.97
358,1243,2024-10-13,0.0,Property Damage,0.0
359,1244,2024-08-20,274.14,Property Damage,274.14
360,1245,2011-10-19,0.0,Bodily Injury,0.0
361,1249,2017-10-02,0.0,Collision,0.0
362,1253,2016-03-20,7.25,Comprehensive,7.25
363,1254,2021-04-10,25.08,Property Damage,25.08
364,1259,2024-10-04,356.92,Bodily Injury,356.92
365,1260,2021-01-07,48.13,Collision,48.13
366,1264,2013-03-17,218.31,Comprehensive,218.31
367,1265,2021-06-26,115.25,Collision,115.25
368,1266,2024-02-05,0.0,Bodily Injury,0.0
369,1267,2022-05-22,127.29,Collision,127.29
370,1267,2013-10-24,315.88,Bodily Injury,315.88
371,1268,2007-11-18,194.77,Comprehensive,194.77
372,1273,2017-03-10,89.02,Property Damage,89.02
373,1274,2009-07-07,0.0,Property Damage,0.0
374,1275,2018-07-31,0.0,Collision,0.0
375,1279,2024-12-31,340.51,Property Damage,340.51
376,1280,2024-03-05,201.86,Collision,201.86
377,1283,2014-09-27,4.91,Property Damage,4.91
378,1286,2023-07-07,0.0,Comprehensive,0.0
379,1290,2010-01-07,54.17,Collision,54.17
380,1290,2014-09-20,126.61,Bodily Injury,126.61
381,1293,2018-10-10,150.62,Bodily Injury,150.62
382,1298,2004-04-30,0.0,Property Damage,0.0
383,1302,2020-11-19,14.45,Property Damage,14.45
384,1311,2007-03-19,0.0,Property Damage,0.0
385,1312,2016-07-14,0.0,Collision,0.0
386,1313,2010-11-14,0.0,Collision,0.0
387,1323,2023-12-11,298.24,Collision,298.24
388,1324,2015-09-08,39.57,Bodily Injury,39.57
389,1325,2021-03-13,18.11,Property Damage,18.11
390,1328,2020-04-23,0.0,Comprehensive,0.0
391,1329,2020-08-26,59.38,Bodily Injury,59.38
392,1330,2006-08-11,0.0,Property Damage,0.0
393,1331,2015-12-08,0.0,Collision,0.0
394,1336,2021-12-29,0.0,Collision,0.0
395,1341,2015-01-30,178.72,Collision,178.72
396,1348,2016-09-24,138.81,Comprehensive,138.81
397,1351,2018-01-10,62.2,Property Damage,62.2
398,1356,2021-08-18,0.0,Collision,0.0
399,1363,2021-08-14,13.85,Comprehensive,13.85
400,1379,2023-03-10,117.26,Collision,117.26
401,1384,2023-12-06,92.85,Collision,92.85
402,1404,2020-08-21,167.04,Property Damage,167.04
403,1409,2024-01-30,0.0,Property Damage,0.0
404,1411,2016-02-20,0.0,Collision,0.0
405,1411,2019-10-18,0.0,Property Damage,0.0
406,1414,1998-10-20,0.0,Property Damage,0.0
407,1415,2019-02-16,114.03,Bodily Injury,114.03
408,1416,2024-09-29,400.77,Property Damage,400.77
409,1417,2021-09-28,94.54,Collision,94.54
410,1419,2024-06-17,0.0,Comprehensive,0.0
411,1420,2024-12-10,29.73,Property Damage,29.73
412,1424,2023-09-07,267.53,Property Damage,267.53
413,1427,2023-09-04,68.8,Bodily Injury,68.8
414,1428,2022-01-16,42.16,Bodily Injury,42.16
415,1432,2006-03-10,281.42,Comprehensive,281.42
416,1434,2020-01-29,0.0,Bodily Injury,0.0
417,1449,2022-12-14,35.84,Property Damage,35.84
418,1455,2022-02-07,35.77,Collision,35.77
419,1465,2018-02-09,54.55,Collision,54.55
420,1469,2018-12-28,148.46,Bodily Injury,148.46
421,1474,2008-04-28,20.23,Collision,20.23
422,1476,2023-07-06,39.84,Property Damage,39.84
423,1478,2021-06-09,64.6,Bodily Injury,64.6
424,1478,2018-09-01,129.42,Collision,129.42
425,1479,2018-10-13,23.05,Property Damage,23.05
426,1480,2023-04-21,117.85,Bodily Injury,117.85
427,1482,2023-05-28,14.17,Property Damage,14.17
428,1487,2017-11-04,0.0,Bodily Injury,0.0
429,1494,2013-12-28,181.74,Property Damage,181.74
430,1495,2024-12-04,40.08,Bodily Injury,40.08
431,1495,2016-08-15,45.07,Bodily Injury,45.07
432,1495,2021-03-30,29.75,Property Damage,29.75
433,1499,2018-12-26,0.0,Property Damage,0.0
434,1500,2024-12-31,254.91,Property Damage,254.91
435,1501,2024-12-31,30.11,Bodily Injury,30.11
436,1502,2003-02-25,44.68,Property Damage,44.68
437,1508,2022-10-20,0.0,Bodily Injury,0.0
438,1515,2024-06-12,0.0,Bodily Injury,0.0
439,1520,2002-04-14,0.0,Property Damage,0.0
440,1530,2014-06-21,11.0,Collision,11.0
441,1536,2024-06-14,0.0,Property Damage,0.0
442,1539,2024-02-18,120.55,Collision,120.55
443,1552,2003-09-26,13.07,Bodily Injury,13.07
444,1555,2021-08-16,0.0,Property Damage,0.0
445,1562,2006-04-01,0.0,Collision,0.0
446,1566,2009-06-30,183.57,Bodily Injury,183.57
447,1570,2011-12-09,30.75,Bodily Injury,30.75
448,1574,2022-09-07,0.15,Property Damage,0.15
449,1577,2002-08-02,0.0,Bodily Injury,0.0
450,1577,2021-03-04,0.0,Bodily Injury,0.0
451,1578,2015-11-03,0.0,Property Damage,0.0
452,1579,2011-06-10,67.61,Property Damage,67.61
453,1579,2022-11-23,90.66,Collision,90.66
454,1581,2015-07-19,140.39,Comprehensive,140.39
455,1582,2021-11-08,38.69,Bodily Injury,38.69
456,1584,2009-02-28,32.73,Collision,32.73
457,1584,2016-09-10,28.07,Collision,28.07
458,1588,2007-06-10,0.0,Bodily Injury,0.0
459,1590,2012-12-10,0.0,Bodily Injury,0.0
460,1590,2021-10-19,0.0,Property Damage,0.0
461,1590,1999-06-10,0.0,Bodily Injury,0.0
462,1593,2021-08-18,175.31,Property Damage,175.31
463,1596,2024-04-28,0.0,Comprehensive,0.0
464,1598,2012-04-27,39.77,Bodily Injury,39.77
465,1604,2021-03-22,75.14,Bodily Injury,75.14
466,1604,2020-12-04,154.49,Comprehensive,154.49
467,1606,2023-03-10,85.1,Collision,85.1
468,1612,2024-02-01,168.84,Bodily Injury,168.84
469,1614,2017-11-11,0.0,Collision,0.0
470,1619,2023-07-25,11.06,Comprehensive,11.06
471,1625,2006-12-05,23.06,Comprehensive,23.06
472,1625,1996-06-11,32.26,Property Damage,32.26
473,1629,2010-05-30,58.54,Bodily Injury,58.54
474,1644,2021-09-12,0.0,Collision,0.0
475,1648,2023-12-10,48.51,Comprehensive,48.51
476,1653,2015-09-23,0.0,Property Damage,0.0
477,1653,2000-11-08,0.0,Collision,0.0
478,1655,2019-09-12,3.36,Bodily Injury,3.36
479,1662,2006-08-30,37.48,Collision,37.48
480,1667,2022-12-29,20.15,Collision,20.15
481,1675,2015-04-15,0.0,Bodily Injury,0.0
482,1675,2004-11-20,0.0,Comprehensive,0.0
483,1677,2008-08-23,182.27,Property Damage,182.27
484,1681,2015-07-30,0.0,Property Damage,0.0
485,1683,2021-03-17,16.86,Collision,16.86
486,1686,2019-05-08,0.0,Property Damage,0.0
487,1688,2005-05-17,13.86,Collision,13.86
488,1689,2021-12-24,200.74,Collision,200.74
489,1691,2020-01-07,74.19,Collision,74.19
490,1691,2021-10-03,110.17,Property Damage,110.17
491,1695,2021-10-19,141.22,Bodily Injury,141.22
492,1699,2015-12-22,0.0,Bodily Injury,0.0
493,1707,2023-01-12,192.86,Property Damage,192.86
494,1708,2024-12-31,57.09,Property Damage,57.09
495,1708,2024-12-31,33.79,Property Damage,33.79
496,1710,2019-10-01,0.0,Property Damage,0.0
497,1712,2024-06-12,115.45,Comprehensive,115.45
498,1715,2015-11-09,155.17,Property Damage,155.17
499,1717,2024-10-28,210.53,Bodily Injury,210.53
500,1718,2017-05-08,51.58,Bodily Injury,51.58
501,1718,2010-02-23,66.3,Bodily Injury,66.3
502,1719,2023-07-05,0.0,Comprehensive,0.0
503,1720,2019-12-08,66.28,Bodily Injury,66.28
504,1723,2015-03-04,28.48,Bodily Injury,28.48
505,1723,2023-01-24,64.1,Property Damage,64.1
506,1726,2022-12-06,0.0,Comprehensive,0.0
507,1730,2007-07-10,56.35,Property Damage,56.35
508,1738,2022-10-01,80.95,Property Damage,80.95
509,1742,2002-03-23,21.64,Bodily Injury,21.64
510,1745,2024-12-31,356.05,Collision,356.05
511,1754,2024-11-12,0.0,Bodily Injury,0.0
512,1758,2007-02-25,0.0,Bodily Injury,0.0
513,1760,2024-12-31,205.21,Property Damage,205.21
514,1762,2012-11-08,6.68,Comprehensive,6.68
515,1762,2012-09-16,6.84,Bodily Injury,6.84
516,1777,2024-07-19,131.36,Property Damage,131.36
517,1787,2008-09-03,127.79,Property Damage,127.79
518,1791,2021-04-30,89.88,Bodily Injury,89.88
519,1791,2011-07-07,55.38,Bodily Injury,55.38
520,1793,2009-09-08,0.0,Property Damage,0.0
521,1793,2009-12-16,0.0,Property Damage,0.0
522,1796,2014-01-09,0.0,Bodily Injury,0.0
523,1798,2010-08-18,0.0,Collision,0.0
524,1804,2019-11-06,0.0,Property Damage,0.0
525,1805,2024-12-31,61.77,Property Damage,61.77
526,1810,2015-10-31,98.14,Bodily Injury,98.14
527,1810,2022-03-23,230.31,Bodily Injury,230.31
528,1814,2018-04-15,14.58,Bodily Injury,14.58
529,1816,2018-04-27,29.64,Bodily Injury,29.64
530,1825,2017-12-30,146.54,Collision,146.54
531,1832,2021-02-13,71.49,Property Damage,71.49
532,1835,2012-12-18,0.0,Property Damage,0.0
533,1835,2014-08-22,0.0,Property Damage,0.0
534,1836,2010-12-10,0.0,Bodily Injury,0.0
535,1836,2016-07-04,0.0,Collision,0.0
536,1849,2008-06-24,0.0,Collision,0.0
537,1850,2023-04-12,138.98,Bodily Injury,138.98
538,1858,2014-03-17,44.71,Collision,44.71
539,1861,2020-04-21,89.52,Property Damage,89.52
540,1863,2024-08-30,0.0,Property Damage,0.0
541,1877,2011-02-22,2.3,Collision,2.3
